ICAO CODE,FLIGHT NUMBER,สายการบิน,เลขที่อนุมัติ,,บ.แบบ,ต้นทาง,เวลา,ปลายทาง,เวลา,ระยะเวลา
ISS,"IG0931,0932",AIR ITALY S.P.A,กพท 08/8524,,,,,,,28 OCT 18 - 30 MAR 19
JAI,JAI(9W)+NUMBER,JET AIRWAYS,กพท 08/9467,กพท 08/10603,B737/B777/A330,,,,,28 OCT 18 - 30 MAR 19
JAL,JL+NUMBER,JAPAN A/L,กพท 08/10617,,B767/B777/B787,,,,,28 OCT 18 - 30 MAR 19
JCC,QD+NUMBER,JC CAMBODIA INTERNATIONAL A/L,กพท 08/10020,กพท 08/10593,A320,,,,,28 OCT 18 - 30 MAR 19
JJA,7C+NUMBER,JEJU AIR,กพท 08/10330,,B737,,,,,28 OCT 18 - 30 MAR 19
JNA,LJ+NUMBER,JIN AIR,กพท 08/9633,,B738/B772,,,,,28 OCT 18 - 30 MAR 19
JSA,3K+NUMBER,JETSTAR ASIA A/W,กพท 08/10604,,A320,,,,,28 OCT 18 - 30 MAR 19
JST,"JQ + NUMBER,QF",JETSTAR A/W,กพท 08/10635,,B787,,,,,28 OCT 18 - 30 MAR 19
JYH,AQ+NUMBER,"9 AIR CO.,LTD",กพท 08/10095,,B737 OR SUBSTITUTE,,,,,28 OCT 18 - 30 MAR 19
KAC,KU+NUMBER,KUWAIT A/W,กพท 08/9138,กพท 08/9441,A330/B747/B777,,,,,28 OCT 18 - 30 MAR 19
KAL,"KAL473,KAL471,KAL472",KOREAN AIR,กพท 08/9988,,A330/A388/B737/B744/B748/B777/B789,,,,,28 OCT 18 - 30 MAR 19
KAL,KE+..number..,KOREAN AIR,กพท 08/10592,,A330/B737/B777/B747,,,,,28 OCT 18 - 30 MAR 19
KBZ,"K7 842,K7 843",AIR KBZ,,,ATR72,,,,,29 OCT 17 - 23 MAR 18
"KLM,BKP","KL+NUMBER,PG+NUMBER(ร่วม)",KLM A/L,กพท 08/10515,,B777,,,,,28 OCT 18 - 30 MAR 19
